Nombre,N°,Rareza,Tipo,Supertipo,Subtipo,Senda,Coste,FUE,RES,Arte,Habilidades,Texto de ambientación
Buscadores de horizontes,125,R,Aliado,,Humano,Neutral,5,4,4,Sandro Rybak,"Cuando Buscadores de horizontes entre en juego, busca en tu mazo un escenario, muéstralo, y ponlo en tu mano. Luego mezcla tu mazo.","""¿Ya llegamos?"""
Cadenas del campeón,126,I,Arma,,,Neutral,2,0,3,Gastón Real Lopez - Santiago Calleriza,"El aliado equipado obtiene protector (Puedes girar este aliado y hacer que defienda al atacante, en vez del defensor propuesto).",
Caminante valle moribundo,127,I,Aliado,,Humano,Neutral,2,1,3,Nicolás Fernández,Vínculo 0: No se pueden jugar habilidades activadas hasta el final del turno.,
Carbonizar,128,C,Ritual,Instantáneo,,Neutral,2,,,Damián Graff,Tu demonio hace 3 daño al aliado objetivo.,"""Adoro el olor de carne quemada."" -Akayra"
Centinela fronterizo,129,C,Aliado,,Humano,Neutral,2,1,3,Felipe Araya,"Protector.2, destruir Centinela de la frontera: El aliado objetivo obtiene Protector hasta el final del turno.","""Defender a cualquier costo."""
Cienojos,130,I,Aliado,,Abominación,Neutral,6,3,7,Danilo García Medrano,Protector.,"""¿Es posible ver un Cienojos antes de que él te vea?"" Antiguo refrán"
Cofre del olvido,131,I,Objeto,,,Neutral,2,,,Gastón Real Lopez - Santiago Calleriza,Cofre del olvido no se endereza en tu Restauración. Girar: Exilia la primer carta de un Inferno. Exiliar una carta de tu Inferno: Endereza Cofre del olvido.,"Su creador se perdió para siempre, al igual que la última criatura que se atrevió a usarlo."
Coleccionacráneos,132,C,Aliado,,Mutante,Neutral,5,5,5,Fabián Mayta Aguilar,,
Cordillera de fuego,133,R,Escenario,,,Neutral,0,,,Nicolás Fernández,"Siempre que se gire un recurso en el turno de un enemigo, Cordillera de fuego hace 1 daño al controlador de ese recurso.","Cada paso que des, puede ser tu útlimo en este mundo."
Daga del silencio,134,I,Arma,,,Neutral,2,1,0,Gastón Real Lopez - Nicolás Fernández,El aliado equipado obtiene evasivo.,
Deformidad sin nombre,135,E,Aliado,Único,Encarnación,Neutral,9,3,5,Fabián Mayta Aguilar,Protector. Deformidad sin nombre obtiene +1 FUE por cada aliado que controles y +1 RES por cada aliado en tu Inferno.,
Desgarrar la realidad,136,I,Ritual ,,,Neutral,4,,,Fabián Mayta Aguilar,Mezcla las primeras siete cartas de tu Inferno en tu mazo. Luego exilia Desgarrar la realidad.,"""Mi conexión con tu mundo es más grande de lo que puedas siquiera conocer."" -Viden"
Desintegración absoluta,137,E,Ritual,,,Neutral,7,,,Fabián Mayta Aguilar,Exilia todos los recursos.,
Desvanecerse,138,C,Ritual,Instantáneo,,Neutral,2,,,Gastón Real Lopez - Nicolás Fernández,Pon la carta objetivo en la mano de su demonio.,Hay ideas que no le agradan a nadie.
Dragón infernal,139,R,Aliado,,Elemental,Neutral,9,12,9,Nicolás Fernández,"Cuando Dragón infernal entre en juego, exilia tu Inferno.",Arrasa con todo ser vivo o muerto que atraviese su camino.
Elemental luminoso,140,R,Aliado,,Elemental,Neutral,5,5,5,Danilo García Medrano,Los rituales que hagan objetivo a Elemental luminoso se pueden jugar sin pagar su coste.,Su sangre es energía líquida.
Esfera de cristal,141,I,Escenario,,,Neutral,0,,,Tim Keil,Todos los aliados entran en juego girados.,"Es imposible entrar o salir de la ciudad sin su permiso. Es imposible comerciar, transitar y respirar."
Espada absorbealmas,142,E,Arma,Instantáneo,,Neutral,5,2,0,Gastón Real Lopez - Franco Riesco,"Cuando el aliado equipado destruya un aliado, puedes ponerlo en juego bajo tu control desde el inferno de su demonio.","La sola idea de regresar al Inferno, es suficiente para ofrecer tu eterna lealtad al portador."
Estanque de rocío,143,I,Escenario,,,Neutral,0,,,Nicolás Fernández,"Al final del turno de cada demonio, ese demonio remueve 1 daño de cada aliado que controle.","Los Hermanos de la tierra protegen el estanque con su vida, ya que el estanque siempre se las devuelve."
Evaluar posibilidades,144,I,Ritual,,,Neutral,X,,,Nicolás Fernández,Pon X recursos que controles en tu mano.,"""Cambio mi riqueza por nuevo conocimiento."""
Forastero barahai,145,C,Aliado,,Barahai,Neutral,3,1,4,Felipe Araya,Agresor.,
Forastero cyborg,146,C,Aliado,,Cyborg,Neutral,4,3,2,Tomás Aira,Halo. Protector.,
Forastero diablo,147,C,Aliado,,Diablo,Neutral,3,2,2,Felipe Araya,Evasivo.,
Forastero kirch,148,C,Aliado,,Kirch,Neutral,3,2,2,Fabián Mayta Aguilar,Furia.,
Garras de titanio,149,I,Arma,,,Neutral,2,1,0,Gastón Real Lopez - Santiago Calleriza,El aliado equipado obtiene halo.,
Generador de luminium,150,I,Objeto,,,Neutral,2,,,Fabián Alberto Gonzalez,Generador de luminium entra en juego girado. Girar: Agrega 1 energía.,"""Antiguo pero creativo diseño."" -Bibliotecario de éter"
Gothika,151,R,Escenario,,,Neutral,0,,,Tim Keil,"Si una carta fuera a ir a un Inferno desde el juego, en vez de eso, exíliala.",En Gothika hay una sola regla que debes conocer a la perfección: ¡OBEDECE!
Hachas arrojadizas,152,I,Arma,,,Neutral,2,1,0,Gastón Real Lopez - Santiago Calleriza,El aliado equipado obtiene furia.,
Hija del valor,153,I,Aliado,,Humano,Neutral,1,2,1,Verónica Vallejos,Hija del valor no puede atacar a aliados.,Pelear por una causa noble no siempre es suficiente.
Homúnculo de laboratorio,154,C,Aliado,,Homúnculo,Neutral,2,1,2,Fabián Mayta Aguilar,"X, destruir Homúnculo de laboratorio: Remueve X daño del aliado objetivo.","""Oh señor mío, ¿nueva tarea tendrá usted?"""
Horno cenizo,155,I,Escenario,,,Neutral,0,,,Tim Keil,"Al final del turno de cada demonio, si no controla aliados, Horno cenizo le hace 1 daño.","Si los Nungnarh dejaran sus tareas un solo día, su ciudad colapsaría."
Ingeniero médico,156,C,Aliado,,Humano,Neutral,3,1,4,Brian Miroglio,Girar: Remueve 2 daño del aliado objetivo.,En estos tiempos un médico simplemente no es suficiente.
Inyector de adrenalina,157,I,Objeto,,,Neutral,3,,,Gastón Real Lopez - Santiago Calleriza,"3, girar: Endereza el aliado objetivo",Un guerrero exhausto es un guerrero muerto.
Lagarto escamacristal,158,C,Aliado,,Reptil,Neutral,1,1,1,Gastón Zubeldia,Destruir Lagarto escamacristal: Agrega 1 energía.,"""Su carne es extremadamente sabrosa, aunque no es por eso que los buscan."""
Lago de almas perdidas,159,I,Escenario,,,Neutral,0,,,Nicolás Fernández,"Cuando un aliado deje el juego, su controlador exilia las primeras dos cartas de su mazo.","""Cuando mueres en esta tierra, tu alma sufre más dolor que tu cuerpo."" Leyenda antigua"
Lanza del héroe,160,I,Arma,,,Neutral,2,1,0,Gastón Real Lopez - Nicolás Fernández,El aliado equipado obtiene agresor.,
Manada de lobos,161,C,Aliado,,Lobo,Neutral,3,3,3,Gastón Zubeldia,,
"Nueva tierra, nuevas reglas",162,I,Ritual,,,Neutral,3,,,Nicolás Fernández,Busca en tu mazo un escenario y ponlo en juego. Luego mezcla tu mazo.,"""Esta es MI TIERRA, y estas son TUS REGLAS."" -Comandante nungnarh"
Orbe tribal,163,R,Arma,,,Neutral,4,0,0,Gastón Real Lopez - Franco Riesco,El aliado equipado obtiene +1 FUE por cada otro aliado de su tipo que controles.,
Palacio escondido,164,R,Escenario,,,Neutral,0,,,Nicolás Fernández,"Si la primer carta de un Inferno es ritual, obtiene Recobrar X, donde X es su coste.",El palacio esconde los más oscuros secretos.
Pantano de los chamanes,165,I,Escenario,,,Neutral,0,,,Tim Keil,"Al final del combate, Pantano de los chamanes hace 1 daño al aliado atacante.","Cada nuevo cadáver, expande sus viscosas aguas."
Patrulla experta,166,I,Aliado,,Humano,Neutral,5,4,4,Sergio Tarquini - Santiago Calleriza,Patrulla experta obtiene +2 FUE y +2 RES por cada arma equipada.,Maestros del arte de guerra.
Pócima de juventud temporal,167,R,Objeto,,,Neutral,8,,,Gastón Real Lopez - Nicolás Fernández,"En tu Restauración, puedes destruir Pócima de juventud temporal. Si lo haces, tienes un turno adicional después de éste.",
Quebrar,168,C,Ritual,,,Neutral,2,,,Fabián Mayta Aguilar,Destruye el objeto o arma objetivo.,"""Ya no necesitarás esto."" -Zustatek"
Quema de conocimiento,169,I,Ritual,,,Neutral,2,,,Fabián Mayta Aguilar,Busca en tu mazo hasta 3 rituales con recobrar y ponlos en tu Inferno. Luego mezcla tu mazo. Vínculo 0: Busca en tu mazo un ritual con recobrar y ponlo en tu Inferno. Luego mezcla tu mazo.,
Recolector de cadáveres,170,I,Aliado,,Mutante,Neutral,4,6,3,Paulo Barrios - Juan Martinez Pinilla,Recolector de cadáveres no puede atacar a demonios.,"Nadie se mete en sus dominios, nadie que esté vivo al menos…"
Réplica de cristal,171,R,Arma,,,Neutral,3,3,3,Gastón Real Lopez - Santiago Calleriza,"Cuando otro arma entre en juego, destruye Réplica de cristal.",
Resplandor,172,C,Ritual,Instantáneo,,Neutral,2,,,Fabián Alberto Gonzalez,Previene todo el daño que se le fuera a hacer al aliado objetivo hasta el final del turno. Toma una carta.,
Restablecer,173,C,Ritual,,,Neutral,3,,,Fabián Alberto Gonzalez,Pon la carta objetivo de tu Inferno en tu mano. Recobrar 3.,En el bosque de los primeros hijos ningún árbol muere realmente.
Sirena de voz tranquila,174,R,Aliado,Único,Súcubo,Neutral,6,6,2,Damián Graff,Previene todo el daño que le fueran a hacer los aliados.,"Su voz y su belleza, encantan a cualquier ser viviente."
Tomo de sabiduría inagotable,175,I,Objeto,,,Neutral,1,,,Gastón Real Lopez - Santiago Calleriza,"Cuando Tomo de sabiduría inagotable entre en juego, toma una carta. No tienes límite de cartas en tu mano.",En la biblioteca del éter el conocimiento crece como la vegetación silvestre.
Valle moribundo,176,I,Escenario,,,Neutral,0,,,Nicolás Fernández,No se pueden jugar habilidades activadas.,"Sin vida, sin conocimiento, sin futuro."
Vampiro paciente,177,I,Aliado,,Vampiro,Neutral,3,2,2,Nicolás Fernández,"Si tus enemigos no tienen recursos enderezados, Vampiro paciente obtiene +2 FUE y +2 RES.","""Mi oportunidad esta cerca, no puedes vigilarme eternamente…"""
Vampiro pasomarchito,178,R,Aliado,,Vampiro,Neutral,4,3,3,Julián Nóbile - Germán Nóbile,El escenario pierde todas sus habilidades. Vínculo 0: Destruye el escenario objetivo.,Marchita la tierra tan rápido como se expanden en ella.
Vigía de las ruinas,179,C,Aliado,,Humano,Neutral,4,2,4,Adrián Zotto,"Protector. Al final de tu turno, endereza Vigía de las ruinas.",Siempre listo.
Vórtice al abismo,180,I,Ritual,Instantáneo,,Neutral,3,,,Julián Nóbile - Germán Nóbile,Exilia el aliado atacante objetivo.,"""Despídete de todos los mundos."" -Unwaj"
"Ficha Caos Kirch 1/1",181,C,Aliado,,Kirch,Caos,,1,1,Paulo Barrios - Juan Martinez Pinilla,,
"Ficha Locura Cyborg 1/1 Protector",182,C,Aliado,,Cyborg,Locura,,1,1,Paulo Barrios - Juan Martinez Pinilla,"Protector (Puedes girar este aliado y hacer que defienda al atacante, en vez del defensor propuesto).",
"Ficha Muerte Diablo 2/2",183,C,Aliado,,Diablo,Muerte,,2,2,Paulo Barrios - Juan Martinez Pinilla,,
"Ficha Poder Barahai 3/3",184,C,Aliado,,Barahai,Poder,,3,3,Paulo Barrios - Juan Martinez Pinilla,,
